Esp35p|S0003376
Eug1p|S0002926
Kes1p|S0006066
Mas5p|S0005008
Sod1p|S0003865
Cpr2p|S0001099
SWP1|S0004757
Rgr1p|S0004061
Rho4p|S0001763
Ser3p|S0000883
ESC2|S0002771
ESC4|S0001197
ESC5|S0003612
Uth2p|S0002635
Rrp4p|S0001111
SHO1|S0000920
Tbf1p|S0006049
Sec2p|S0005216
Mft52p|S0004527
Ste11p|S0004354
Pbn1p|S0000557
Brr1p|S0006261
Mas6p|S0005300
Cpr3p|S0004543
Sod2p|S0001050
Tlg1p|S0002876
Rho5p|S0005124
Las17p|S0005707
Cpc2p|S0004722
Rrp5p|S0004842
SHP1|S0000154
Fun30p|S0000017
Cet1p|S0006149
TES1|S0003780
Sec3p|S0000810
Ste12p|S0001126
Ysr2p|S0003670
SRO77|S0000202
Yib1p|S0001440
Brr2p|S0000974
Tlg2p|S0005378
Cpr4p|S0000665
RSC11|S0006238
Rim101p|S0001019
RSC12|S0004636
SWR1|S0002742
Sec31p|S0002354
Ysc1p|S0001586
Uth4p|S0003146
Rrp6p|S0005527
Fun31p|S0000015
Sec4p|S0001889
Ste13p|S0005745
RPC128|S0005733
Ysr3p|S0001761
Cla10p|S0001149
HYP1|S0003808
HYP2|S0000760
Yib2p|S0001441
Atr1p|S0004584
NHA1|S0004128
Sng1p|S0003429
Brr3p|S0002366
Cpr5p|S0002712
Sly41p|S0005834
Sec32p|S0004068
ARG5,6|S0000871
Cof1p|S0003973
Rrp7p|S0000536
Sen15p|S0004663
Fun32p|S0000014
FAH1|S0004885
Sec5p|S0002573
SHR3|S0002371
Ste14p|S0002818
SHR5|S0005470
Ded81p|S0001061
Yib3p|S0001442
Hrf316p|S0005456
Cpr6p|S0004206
Msl1p|S0001448
Pkr1p|S0004730
Nrc380p|S0003232
Hrc198p|S0003753
Dbh1p|S0002827
Ist1p|S0005209
Sec33p|S0002304
HRF151|S0005468
Pus1p|S0006133
Atc1p|S0002592
Smy1p|S0001562
Tcm62p|S0000248
SHS1|S0002384
Fun33p|S0000013
Sec6p|S0001330
UBY1|S0000927
Knh1p|S0002207
HYR1|S0001476
Gnp1p|S0002916
Ded82p|S0001062
Yib4p|S0001443
ILS|S0000172
Oxa1p|S0000956
Rpg1p|S0000283
Brr5p|S0004267
Cpr7p|S0003793
PBI2|S0004960
CYB2|S0004518
CYB3|S0001624
Sec34p|S0000959
Ist2p|S0000290
CYB5|S0005055
Pab1p|S0000967
HRE432|S0005457
Pus2p|S0003031
Smy2p|S0000376
Rrp9p|S0006341
Pkc1p|S0000201
Ise1p|S0004467
Sec7p|S0002577
Ste16p|S0002248
HYS2|S0003766
YUH1|S0003860
TRIC5|S0003551
Yib5p|S0001444
Cpr8p|S0005311
CYC1|S0003809
Cdh1p|S0002971
CYC2|S0005563
CYC3|S0000037
Ist3p|S0001444
Sec35p|S0003352
CYC7|S0000765
Gna1p|S0001877
CYC8|S0000316
CYC9|S0000680
Pus3p|S0001895
RPC160|S0005642
Sci2p|S0003222
Fun35p|S0000010
TEX1|S0002260
Sec8p|S0006259
EDH2|S0005706
Fpp1p|S0003703
Yib6p|S0001445
Acn45p|S0001387
Brr7p|S0004571
Hac1p|S0001863
Hsp104p|S0003949
Dak1p|S0004535
YFH1|S0002278
Asf1p|S0003651
Pus4p|S0005236
Atc4p|S0000024
Gcr1p|S0005996
